# x	y	cluster	file
0.17018600942643936	0.09530335309181748	0	Yamaha TG-33/Whistle-02.wav
7.351380117727646	-1.4061823005372465	1	Yamaha TG-33/Ride-02.wav
-17.050071946158837	5.81132378188703	2	Yamaha TG-33/Bassdrum-01.wav
12.260778338869422	-9.341639564915159	1	Yamaha TG-33/Snap.wav
-1.663164342835402	8.248785701930528	3	Yamaha TG-33/Tom-04.wav
-3.053169203779343	8.580054049209872	3	Yamaha TG-33/Snaredrum-03.wav
11.163995062756197	-4.329138344944117	1	Yamaha TG-33/Shaker.wav
0.2570614687106265	0.15227864444883052	4	Yamaha TG-33/Whistle-01.wav
-8.461436703913165	9.527023275344497	3	Yamaha TG-33/Bongo-01.wav
1.0409479662892775	3.923171116743205	1	Yamaha TG-33/Crash-01.wav
-12.813774604029438	-0.6691245080251387	2	Yamaha TG-33/Bassdrum-03.wav
6.563413037140855	-1.2550142792735375	1	Yamaha TG-33/Flute.wav
-2.136266916954183	11.726135838948919	3	Yamaha TG-33/Snaredrum-04.wav
-0.0908712002010271	2.2852643942190634	1	Yamaha TG-33/Unknown.wav
0.1608782040527676	1.5861235703145533	5	Yamaha TG-33/SFX-07.wav
6.315214551737312	-6.341477643710373	1	Yamaha TG-33/Clave.wav
6.556213718964057	-4.369209485975971	1	Yamaha TG-33/Cowbell L.wav
-11.286706216601223	8.82842485563521	6	Yamaha TG-33/SFX-08.wav
8.023788575125055	3.1854780609864797	7	Yamaha TG-33/Clap.wav
8.030085335892673	-10.59529787447862	1	Yamaha TG-33/SFX-02.wav
1.4825974049382666	-1.3600631553063416	5	Yamaha TG-33/Bongo-02.wav
7.604836846507378	-3.248471748939427	1	Yamaha TG-33/Tambourine.wav
1.0097434523022377	-0.24766712902260998	1	Yamaha TG-33/SFX-04.wav
-9.26819908432285	4.308135469996202	6	Yamaha TG-33/Tom-02.wav
-12.499993631336928	3.5758506424473233	6	Yamaha TG-33/Tom-01.wav
7.643939488194771	-5.852541676111338	1	Yamaha TG-33/Cowbell H.wav
4.110696896909251	2.248811989412679	1	Yamaha TG-33/Timbale.wav
5.446449310159999	-0.7417519617239976	1	Yamaha TG-33/Ride-01.wav
1.0615734854988612	5.881724720923065	3	Yamaha TG-33/Snaredrum-02.wav
0.9807080620488041	9.48685857855649	3	Yamaha TG-33/Snaredrum-05.wav
1.4078201870033926	-1.9035274150145318	1	Yamaha TG-33/Crash Reverse.wav
-0.8233476224527722	1.310746160058063	7	Yamaha TG-33/SFX-05.wav
-15.236745699503889	7.731677720846805	6	Yamaha TG-33/SFX-03.wav
6.297381084955827	-1.2023272139200274	1	Yamaha TG-33/Glass-02.wav
4.012894391289739	-5.140652888213583	1	Yamaha TG-33/SFX-06.wav
-6.714681197180933	5.073661323611412	8	Yamaha TG-33/Tom-06.wav
3.851612980779129	-1.2107403316160168	1	Yamaha TG-33/Glass-01.wav
-5.46884396392197	6.817901437936814	9	Yamaha TG-33/Tom-03.wav
1.1035368398685377	-1.3151282283000023	1	Yamaha TG-33/Triangle-01.wav
4.353002111972055	-1.98011713221645	1	Yamaha TG-33/Cowbell.wav
-8.721840195764875	10.896742689958502	9	Yamaha TG-33/Snaredrum-01.wav
-15.327604949007888	7.790081327819075	6	Yamaha TG-33/Bassdrum-02.wav
-6.0605149772121125	0.15656063865947298	8	Yamaha TG-33/SFX-01.wav
-0.21355392788185526	-5.485078934134397	1	Yamaha TG-33/Rimshot.wav
4.8183189612587105	-3.6729521728979284	1	Yamaha TG-33/Conga.wav
-7.828020853251341	9.13111620708153	9	Yamaha TG-33/Tom-07.wav
5.65446896961845	-5.437845628415157	1	Yamaha TG-33/Woodblock.wav
-12.010002881614339	-4.676703525843715	2	Yamaha TG-33/Bassdrum-04.wav
6.587417332024054	-0.648230618745001	1	Yamaha TG-33/Crash-02.wav
6.416587014214222	0.9436099961179757	1	Yamaha TG-33/Hat Open.wav
2.3102290908199756	0.1955909485724663	7	Yamaha TG-33/Triangle-02.wav
-12.197526268354453	5.548076722635273	6	Roland MC-202/Bassdrum-01.wav
-8.213413258962667	4.505615713010231	6	Roland MC-202/Bassdrum-03.wav
3.9976854650553095	5.351018943913432	7	Roland MC-202/Tom H-02.wav
-0.3289608603352206	4.040125742619598	7	Roland MC-202/Tom H-04.wav
-5.406061884103258	3.028102998544777	7	Roland MC-202/Bassdrum-05.wav
-9.403355734962778	3.539418054965336	2	Roland MC-202/Click.wav
-9.628596572616766	5.558383219714128	6	Roland MC-202/Bassdrum-02.wav
-6.7117982724185135	3.39058267050523	8	Roland MC-202/Bassdrum-04.wav
-3.6290225427404064	12.302739995552908	3	Roland MC-202/Tom H-03.wav
10.19327211524238	-1.2385069083022497	1	Sequential Circuits TOM/Hat Closed.wav
5.073516843065501	5.502589409283399	7	Sequential Circuits TOM/Clap.wav
-13.356202323921105	6.029038300222832	6	Sequential Circuits TOM/Tom-02.wav
-14.164790330527632	5.032165014433345	6	Sequential Circuits TOM/Tom-01.wav
0.46952137247068465	2.6607245781630504	1	Sequential Circuits TOM/Crash.wav
-7.719479747242398	11.867516680539977	9	Sequential Circuits TOM/Snaredrum.wav
3.2289678515029445	2.85728704812033	1	Sequential Circuits TOM/Hat Open.wav
-16.93504282457005	-2.1683629502888246	2	Sequential Circuits TOM/Bassdrum.wav
-4.920174025222417	9.195026348149968	3	Sequential Circuits Drumtraks/Tom.wav
8.897016731335357	0.12361155829631536	1	Sequential Circuits Drumtraks/Hat Closed.wav
6.764867928747858	3.4218012962494173	7	Sequential Circuits Drumtraks/Clap.wav
